x,y,z,nx,ny,nz,radius,CCI,branch_id,parent_branch_id,tree_id,tree_volume,segment_angle_to_horiz,height_above_dtm
417217.983555201,6335827.241773205,195.9964664541684,-0.0019712117950978288,-0.013537710711255797,0.9999064179775813,0.0477597794011102,0.0,6.0,6.0,2.0,0.04983901842761275,89.21614229716805,0.0
417217.98330858396,6335827.239680664,196.2367882736293,-0.0019712117950978288,-0.013537710711255797,0.9999064179775813,0.0477597794011102,0.575,6.0,6.0,2.0,0.04983901842761275,87.42314540314628,0.38214767024913954
417217.9830856238,6335827.23222124,196.42179848700482,0.00542597428649084,0.044630816263805495,0.998988813272035,0.055733374932462984,0.6875,6.0,6.0,2.0,0.04983901842761275,87.42314540314628,0.4761853361033559
417217.95837445423,6335827.238988668,196.63699928748446,-0.00428854651562204,0.044630816263805495,0.998988813272035,0.052292572360383455,0.65,6.0,6.0,2.0,0.04983901842761275,87.42314540314628,0.6081293068245657
417217.98905271676,6335827.229678055,196.83033619922423,0.20719461595433464,-0.07316131656139065,0.9720035015732515,0.08543694624036502,0.6125,6.0,6.0,2.0,0.04983901842761275,87.42314540314628,0.835343879581103
417218.02534904855,6335827.217966176,196.9765540747499,0.00542597428649084,0.044630816263805495,0.998988813272035,0.08543694624036502,0.6375,6.0,6.0,2.0,0.04983901842761275,87.42314540314628,1.077700856934655
417226.0332431339,6335825.453214989,195.9090252086299,-0.00025136682770554,0.0,0.9999999684073584,0.11823209344647918,0.0,19.0,7.0,3.0,1.564117238581268,89.98559774151121,0.0
417226.0331912058,6335825.453214989,196.11560786231487,-0.00025136682770554,0.0,0.9999999684073584,0.11823209344647918,0.0,19.0,7.0,3.0,1.564117238581268,89.98559774151121,0.20658182283628435
417226.0331674055,6335825.453214989,196.35344714652211,-0.0018376107211010918,0.0,0.9974054521067635,0.12263144296187364,0.575,7.0,7.0,3.0,1.564117238581268,61.60276228445559,0.5141466391877714
417226.03278659994,6335825.469992386,196.5343016978004,-0.0018376109887247166,0.07196517942302866,0.9974054521677178,0.11823209344647918,0.575,7.0,7.0,3.0,1.564117238581268,61.60276228445559,0.6495882763271652
417226.03250099573,6335825.483041473,196.7396229458937,-0.0018376109887242138,0.07196518027458693,0.9974054521677178,0.11823209344647918,0.0,41.0,31.0,3.0,1.564117238581268,87.22381085397275,0.8310242173067195
417226.03212019015,6335825.497954715,196.944944193987,-0.0018376109887242138,0.07196518027458693,0.9974054521677178,0.11823209344647918,0.0,41.0,31.0,3.0,1.564117238581268,87.22381085397275,1.0352168076088049
417226.0317393846,6335825.512867956,197.1502654420803,-0.0018376109887247166,0.07196517942302866,0.9974054522286722,0.11823209344647918,0.0,41.0,31.0,3.0,1.564117238581268,87.22381085397275,1.2394093979099807
417226.0314537804,6335825.526044709,197.33522899631865,-0.0018376112563473358,0.07196517942302866,0.9974054521067635,0.11823209344647918,0.525,31.0,31.0,3.0,1.564117238581268,84.13251097899195,1.6166421932159665
417226.0549161265,6335825.516215753,197.52237181709614,0.023432752303711866,0.04238896940382434,0.9988263519713296,0.11823209344647918,0.5375,31.0,31.0,3.0,1.564117238581268,84.13251097899195,1.6848512563375664
417226.0608970796,6335825.522707345,197.7583535973534,0.023432752303711866,0.04238896940382434,0.9988263519713296,0.11823209344647918,0.0,41.0,31.0,3.0,1.564117238581268,87.22381085397275,1.8513838607998423
417226.0773426796,6335825.537722452,198.02906974763874,-0.014853435886074174,0.0099607297242357,0.9998400668635655,0.15208827131581482,0.725,41.0,41.0,3.0,1.564117238581268,88.97526246150757,2.2413599293715833
417226.0723831447,6335825.5391388135,198.25144240295725,-0.014853435886074174,0.0099607297242357,0.9998400668635655,0.15197048866540425,0.925,41.0,41.0,3.0,1.564117238581268,88.97526246150757,2.470804394567324
417226.06780027074,6335825.537803589,198.44810109989572,-0.014853435886074174,0.0099607297242357,0.9998400668635655,0.14758525991720145,0.9875,41.0,41.0,3.0,1.564117238581268,88.97526246150757,2.714445501944283
417226.05279188044,6335825.544619227,198.68994072941555,-0.06871132755025056,0.0099607297242357,0.9976161255869033,0.14294666228604436,0.9875,41.0,41.0,3.0,1.564117238581268,88.97526246150757,2.8062699378773743
417226.04151656403,6335825.541680893,198.87975882187772,-0.014853435886074174,0.0099607297242357,0.9998400668635655,0.13455023787024528,1.0,41.0,41.0,3.0,1.564117238581268,88.97526246150757,3.02430397109012
417226.0540092246,6335825.543976152,199.12121260727744,-0.014853435886074174,0.0099607297242357,0.9998400668635655,0.1307519545221873,1.0,41.0,41.0,3.0,1.564117238581268,88.97526246150757,3.3160434834937575
417226.0484940782,6335825.566954201,199.34719952025435,-0.014853435886074174,0.0099607297242357,0.9987935435588938,0.1304831497359087,1.0,41.0,41.0,3.0,1.564117238581268,88.97526246150757,3.468247095272517
417226.0496674277,6335825.559865705,199.55126724134487,-0.003494502874950819,0.0099607297242357,0.9993362331921045,0.12678606178029161,1.0,41.0,41.0,3.0,1.564117238581268,88.97526246150757,3.7727690568177934
417226.05076407694,6335825.55265153,199.72757744124723,-0.014853435886074174,0.0099607297242357,0.9998400668635655,0.12239385349981048,0.9875,41.0,41.0,3.0,1.564117238581268,88.97526246150757,3.871707090330716
417226.04716181057,6335825.535179773,199.95282866183015,0.009557117173284167,-0.013607141343493417,0.998302721534678,0.12383792118201775,0.9375,41.0,41.0,3.0,1.564117238581268,88.97526246150757,4.06837166983135
